漢字,読み
一五一十,いちごいちじゅう
意中之人,いちゅうのひと
意識過剰,いしきかじょう
移山倒海,いざんとうかい
衣冠盛事,いかんせいじ
移花接木,いかせつぼく
因果応報,いんがおうほう
一切合切,いっさいがっさい
一挙一動,いっきょいちどう
一挙両得,いっきょりょうとく
一騎当千,いっきとうせん
一攫千金,いっかくせんきん
一陽来復,いちようらいふく
一言居士,いちげんこじ
一目瞭然,いちもくりょうぜん
一望千里,いちぼうせんり
一言半句,いちごんはんく
一衣帯水,いちいたいすい
意気揚揚,いきようよう
意気投合,いきとうごう
意気消沈,いきしょうちん
一朝一夕,いっちょういっせき
意味深長,いみしんちょう
一石二鳥,いっせきにちょう
一世一代,いっせいちだい
一心不乱,いっしんふらん
一刀両断,いっとうりょうだん
一長一短,いっちょういったん
一喜一憂,いっきいちゆう
一網打尽,いちもうだじん
一部始終,いちぶしじゅう
一心同体,いっしんどうたい
一進一退,いっしんいったい
一所懸命,いっしょけんめい
一念発起,いちねんほっき
一国一城,いっこくいちじょう
一日千秋,いちじつせんしゅう
一字一句,いちじいっく
一期一会,いちごいちえ
一意専心,いちいせんしん
一生懸命,いっしょうけんめい
一刻千金,いっこくせんきん
異口同音,いくどうおん
以心伝心,いしんでんしん
雲水行脚,うんすいあんぎゃ
雲竜風虎,うんりゅうふうこ
雲遊萍寄,うんゆうひょうき
雲集霧散,うんしゅうむさん
雲霞之交,うんかのまじわり
有漏無漏,うろむろ
紆余委蛇,うよいだ
有無相生,うむそうせい
嫗伏孕鬻,うふうよういく
禹湯文武,うとうぶんぶ
鬱塁神荼,うつりつしんと
鬱肉漏脯,うつにくろうほ
迂疎空闊,うそくうかつ
有財餓鬼,うざいがき
烏合之衆,うごうのしゅう
于公高門,うこうこうもん
羽翮飛肉,うかくひにく
有為無常,ういむじょう
紆余曲折,うよきょくせつ
羽翼既成,うよくきせい
雲心月性,うんしんげっせい
雲蒸竜変,雲蒸龍変
雲壌懸隔,うんじょうけんかく
雲壌月鼈,うんじょうげつべつ
雲散鳥没,うんさんちょうぼつ
雲合霧集,うんごうむしゅう
雲行雨施,うんこううし
運斤成風,うんきんせいふう
雲外蒼天,うんがいそうてん
雲煙模糊,うんえんもこ
雲煙縹渺,うんえんひょうびょう
雲烟飛動,うんえんひどう
雲煙万里,うんえんばんり
雲煙過眼,うんえんかがん
雲雨巫山,うんうふざん
雨露霜雪,うろそうせつ
雨霖鈴曲,うりんれいきょく
有相執著,うそうしゅうじゃく
烏焉魯魚,うえんろぎょ
雲竜井蛙,うんりゅうせいあ
雲容烟態,うんようえんたい
運否天賦,うんぷてんぷ
雲翻雨覆,うんぱんうふく
雲濤煙浪,うんとうえんろう
有耶無耶,うやむや
烏飛兎走,うひとそう
烏兎怱怱,うとそうそう
雲泥万里,うんでいばんり
雲中白鶴,うんちゅうはっかく
雲水不住,うんすいふじゅう
烏白馬角,うはくばかく
鬱鬱葱葱,うつうつそうそう
鬱鬱勃勃,うつうつぼつぼつ
鬱鬱怏怏,うつうつおうおう
迂直之計,うちょくのけい
有頂天外,うちょうてんがい
烏鳥私情,うちょうしじょう
内股膏薬,うちまたごうやく
有智高才,うちこうさい
烏孫公主,うそんこうしゅ
雨後春筍,うごしゅんじゅん
右顧左眄,うこさべん
禹行舜趨,うこうしゅんすう
有象無象,うぞうむぞう
羽化登仙,うかとうせん
雨過天晴,うかてんせい
有為転変,ういてんぺん
雲散霧消,うんさんむしょう
海千山千,うみせんやません
右往左往,うおうさおう
燕雀相賀,えんじゃくそうが
偃鼠飲河,えんそいんが
永久不変,えいきゅうふへん
遠謀深慮,えんぼうしんりょ
円顱方趾,えんろほうし
延陵季子,えんりょうのきし
轅門二竜,えんもんにりょう
厭聞飫聴,えんぶんよちょう
閻浮檀金,えんぶだごん
猿臂之勢,えんぴのいきおい
円融三諦,えんにゅうさんだい
円頓止観,えんどんしかん
宛転蛾眉,えんてんがび
怨女曠夫,えんじょこうふ
円鑿方枘,えんさくほうぜい
円首方足,えんしゅほうそく
円孔方木,えんこうほうぼく
猿猴取月,えんこうしゅげつ
婉曲迂遠,えんきょくうえん
燕頷虎頭,えんがんことう
燕頷虎頸,えんがんこけい
円滑洒脱,えんかつしゃだつ
鴛鴦之契,えんおうのちぎり
烟雲過眼,えんうんかがん
宴安酖毒,えんあんちんどく
越鳧楚乙,えつふそいつ
越鳥南枝,えっちょうなんし
越俎之罪,えっそのつみ
越俎代庖,えっそだいほう
英明闊達,えいめいかったつ
影隻形単,えいせきけいたん
潁水隠士,えいすいのいんし
