漢字,読み
瑣砕細膩,ささいさいじ
左建外易,さけんがいえき
鑿壁偸光,さくへきとうこう
作文三上,さくぶんさんじょう
削足適履,さくそくてきり
鑿窓啓牖,さくそうけいゆう
作史三長,さくしのさんちょう
鑿歯尺牘,さくしせきとく
坐臥行歩,ざがこうほ
菜圃麦隴,さいほばくろう
彩鳳随鴉,さいほうずいあ
采椽不斲,さいてんふたく
裁断批評,さいだんひひょう
灑掃応対,さいそうおうたい
載籍浩瀚,さいせきこうかん
祭政一致,さいせいいっち
採薪之憂,さいしんのうれい
採薪汲水,さいしんきゅうすい
載舟覆舟,さいしゅうふくしゅう
犀舟勁檝,さいしゅうけいしゅう
妻子眷族,さいしけんぞく
在邇求遠,ざいじきゅうえん
罪業消滅,ざいごうしょうめつ
歳寒松柏,さいかんしょうはく
歳寒三友,さいかんさんゆう
採菓汲水,さいかきっすい
塞翁失馬,さいおうしつば
三枝之礼,さんしのれい
座薪懸胆,ざしんけんたん
歳月不待,さいげつふたい
塞翁之馬,さいおうのうま
豺狼当路,さいろうとうろ
三人成虎,さんにんせいこ
三面六臂,さんめんろっぴ
三面記事,さんめんきじ
賛否両論,さんぴりょうろん
三年味噌,さんねんみそ
三人三様,さんにんさんよう
斬新奇抜,ざんしんきばつ
三十六計,さんじゅうろっけい
三者鼎立,さんしゃていりつ
残酷非道,ざんこくひどう
産学協同,さんがくきょうどう
左支右吾,さしゆうご
昨非今是,さくひこんぜ
西方浄土,さいほうじょうど
才弁縦横,さいべんじゅうおう
採長補短,さいちょうほたん
才子多病,さいしたびょう
才子佳人,さいしかじん
在在所所,ざいざいしょしょ
最後通牒,さいごつうちょう
再起不能,さいきふのう
才気煥発,さいきかんぱつ
斎戒沐浴,さいかいもくよく
三位一体,さんみいったい
三拝九拝,さんぱいきゅうはい
三三五五,さんさんごご
残念無念,ざんねんむねん
山紫水明,さんしすいめい
三寒四温,さんかんしおん
才色兼備,さいしょくけんび
再三再四,さいさんさいし
四角四面,しかくしめん
嘯風弄月,しょうふうろうげつ
辛労辛苦,しんろうしんく
深厲浅掲,しんれいせんけい
蜃楼海市,しんろうかいし
深慮遠謀,しんりょえんぼう
新涼灯火,しんりょうとうか
迅雷風烈,じんらいふうれつ
人面桃花,じんめんとうか
晨夜兼道,しんやけんどう
瞋目張胆,しんもくちょうたん
心満意足,しんまんいそく
人面獣身,じんめんじゅうしん
脣亡歯寒,しんぼうしかん
神仏混淆,しんぶつこんこう
振臂一呼,しんぴいっこ
心頭滅却,しんとうめっきゃく
塵飯塗羹,じんぱんとこう
神荼鬱塁,しんとうつりつ
尽忠報国,じんちゅうほうこく
心地光明,しんちこうめい
身体髪膚,しんたいはっぷ
迅速果断,じんそくかだん
尽善尽美,じんぜんじんび
神仙思想,しんせんしそう
鐘鳴鼎食,しょうめいていしょく
生滅滅已,しょうめつめつい
笑面夜叉,しょうめんやしゃ
将門有将,しょうもんゆうしょう
逍遥自在,しょうようじざい
従容就義,しょうようしゅうぎ
従容不迫,しょうようふはく
晨星落落,しんせいらくらく
逍遥法外,しょうようほうがい
乗輿車駕,じょうよしゃが
薪水之労,しんすいのろう
乗輿播越,じょうよはえつ
常鱗凡介,じょうりんぼんかい
上漏下湿,じょうろうかしゅう
杵臼之交,しょきゅうのまじわり
嗇夫利口,しょくふりこう
諸子百家,しょしひゃっか
処女脱兎,しょじょだっと
助長抜苗,じょちょうばつびょう
初転法輪,しょてんぼうりん
諸法無我,しょほうむが
黍離之歎,しょりのたん
芝蘭玉樹,しらんぎょくじゅ
芝蘭結契,しらんけっけい
芝蘭之室,しらんのしつ
芝蘭之交,しらんのまじわり
至理名言,しりめいげん
事理明白,じりめいはく
持粱歯肥,じりょうしひ
緇林杏壇,しりんきょうだん
眥裂髪指,しれつはっし
指鹿為馬,しろくいば
四六駢儷,しろくべんれい
人為淘汰,じんいとうた
神韻縹渺,しんいんひょうびょう
心願成就,しんがんじょうじゅ
人間青山,じんかんせいざん
心悸亢進,しんきこうしん
新鬼故鬼,しんきこき
晨去暮来,しんきょぼらい
辛苦遭逢,しんくそうほう
身軽言微,しんけいげんび
人権蹂躙,じんけんじゅうりん
身言書判,しんげんしょはん
心慌意乱,しんこういらん
真人大観,しんじんたいかん
人心収攬,じんしんしゅうらん
心神耗弱,しんしんこうじゃく
人心洶洶,じんしんきょうきょう
身心一如,しんしんいちにょ
薪尽火滅,しんじんかめつ
心織筆耕,しんしょくひっこう
神色自若,しんしょくじじゃく
参商之隔,しんしょうのへだて
尋章摘句,じんしょうてきく
尋常一様,じんじょういちよう
浸潤之譖,しんじゅんのそしり
人主逆鱗,じんしゅげきりん
仁者楽山,じんしゃらくざん
仁者無敵,じんしゃむてき
仁者不憂,じんしゃふゆう
斟酌折衷,しんしゃくせっちゅう
脣歯輔車,しんしほしゃ
人事天命,じんじてんめい
進取果敢,しんしゅかかん
参差錯落,しんしさくらく
慎始敬終,しんしけいしゅう
神算鬼謀,しんさんきぼう
神采英抜,しんさいえいばつ
深根固柢,しんこんこてい
人口稠密,じんこうちゅうみつ
心広体胖,しんこうたいはん
深溝高塁,しんこうこうるい
神工鬼斧,しんこうきふ
人口膾炙,じんこうかいしゃ
漿酒霍肉,しょうしゅかくにく
常住不断,じょうじゅうふだん
銷鑠縮栗,しょうしゃくしゅくりつ
商山四皓,しょうざんのしこう
小国寡民,しょうこくかみん
上行下効,じょうこうかこう
笙磬同音,しょうけいどうおん
上求菩提,じょうぐぼだい
小家碧玉,しょうかへきぎょく
上下天光,しょうかてんこう
上下一心,しょうかいっしん
硝煙弾雨,しょうえんだんう
上援下推,じょうえんかすい
冗員淘汰,じょういんとうた
情意投合,じょういとうごう
宵衣旰食,しょういかんしょく
叙位叙勲,じょいじょくん
春和景明,しゅんわけいめい
醇風美俗,じゅんぷうびぞく
駿足長阪,しゅんそくちょうはん
春愁秋思,しゅんしゅうしゅうし
蓴羹鱸膾,じゅんこうろかい
春寒料峭,しゅんかんりょうしょう
純一無雑,じゅんいつむざつ
春蛙秋蝉,しゅんあしゅうぜん
株連蔓引,しゅれんまんいん
珠聯璧合,しゅれんへきごう
儒林棟梁,じゅりんのとうりょう
朱墨爛然,しゅぼくらんぜん
手舞足踏,しゅぶそくとう
酒嚢飯袋,しゅのうはんたい
殊塗同帰,しゅとどうき
出将入相,しゅっしょうにゅうしょう
出谷遷喬,しゅっこくせんきょう
朮羹艾酒,じゅっこうがいしゅ
寿則多辱,じゅそくたじょく
朱唇皓歯,しゅしんこうし
衆生済度,しゅじょうさいど
珠襦玉匣,しゅじゅぎょっこう
輸攻墨守,しゅこうぼくしゅ
夙夜夢寐,しゅくやむび
縮地補天,しゅくちほてん
熟思黙想,じゅくしもくそう
夙興夜寝,しゅくこうやしん
縮衣節食,しゅくいせっしょく
樹下石上,じゅかせきじょう
酒甕飯嚢,しゅおうはんのう
戢鱗潜翼,しゅうりんせんよく
襲名披露,しゅうめいひろう
衆妙之門,しゅうみょうのもん
十万億土,じゅうまんおくど
聚蚊成雷,しゅうぶんせいらい
秋風落莫,しゅうふうらくばく
戎馬倥偬,じゅうばこうそう
十年一剣,じゅうねんいっけん
終南捷径,しゅうなんしょうけい
縦塗横抹,じゅうとおうまつ
獣蹄鳥跡,じゅうていちょうせき
舟中敵国,しゅうちゅうてきこく
秋霜三尺,しゅうそうさんじゃく
十全十美,じゅうぜんじゅうび
衆酔独醒,しゅうすいどくせい
修身斉家,しゅうしんせいか
袖手傍観,しゅうしゅぼうかん
獣聚鳥散,じゅうしゅうちょうさん
聚散十春,しゅうさんじっしゅん 
修己治人,しゅうこちじん
十五志学,じゅうごしがく
秋高馬肥,しゅうこうばひ
秋毫之末,しゅうごうのすえ
重厚長大,じゅうこうちょうだい
衆口一致,しゅうこういっち
衆賢茅茹,しゅうけんぼうじょ
羞月閉花,しゅうげつへいか
愁苦辛勤,しゅうくしんきん
羞花閉月,しゅうかへいげつ
衆寡不敵,しゅうかふてき
秀外恵中,しゅうがいけいちゅう
拾遺補闕,しゅういほけつ
醜悪奸邪,しゅうあくかんじゃ
舎本逐末,しゃほんちくまつ
煮豆燃萁,しゃとうねんき
寂光浄土,じゃっこうじょうど
舎短取長,しゃたんしゅちょう
射石飲羽,しゃせきいんう
車水馬竜,しゃすいばりょう
社稷之守,しゃしょくのまもり
社稷之臣,しゃしょくのしん
射将先馬,しゃしょうせんば
奢侈文弱,しゃしぶんじゃく
奢侈淫佚,しゃしいんいつ
車載斗量,しゃさいとりょう
捨根注枝,しゃこんちゅうし
車蛍孫雪,しゃけいそんせつ
寂滅為楽,じゃくめついらく
杓子果報,しゃくしかほう
釈根灌枝,しゃくこんかんし
舎近求遠,しゃきんきゅうえん
社燕秋鴻,しゃえんしゅうこう
車胤聚蛍,しゃいんしゅうけい
四門遊観,しもんゆうかん
七五三縄,しめなわ
慈母敗子,じぼはいし
徙木之信,しぼくのしん
子墨兎毫,しぼくとごう
子墨客卿,しぼくかくけい
資弁捷疾,しべんしょうしつ
四百四病,しひゃくしびょう
慈悲忍辱,じひにんにく
慈眉善目,じびぜんもく
自然法爾,じねんほうに
舐犢之愛,しとくのあい
紫電清霜,しでんせいそう
耳提面命,じていめんめい
疾風勁草,しっぷうけいそう
七珍万宝,しっちんまんぽう
実践躬行,じっせんきゅうこう
実事求是,じつじきゅうぜ
十死一生,じっしいっしょう
失魂落魄,しっこんらくはく
疾言遽色,しつげんきょしょく
日月逾邁,じつげつゆまい
悉皆成仏,しっかいじょうぶつ
七里結界,しちりけっかい
詩腸鼓吹,しちょうのこすい
視聴言動,しちょうげんどう
史籀大篆,しちゅうだいてん
死中求活,しちゅうきゅうかつ
七歩八叉,しちほはっさ
七歩之才,しちほのさい
七難九厄,しちなんくやく
七堂伽藍,しちどうがらん
七種菜羹,しちしゅのさいこう
七十古稀,しちじゅうこき
七嘴八舌,しちしはちぜつ
至大至剛,しだいしごう
志大才疎,しだいさいそ
四塞之国,しそくのくに
紫髯緑眼,しぜんりょくがん
咫尺之書,しせきのしょ
死生有命,しせいゆうめい
七縦七擒,しちしょうしちきん
四神相応,しじんそうおう
詩人蛻骨,しじんぜいこつ
死屍累累,ししるいるい
四書五経,ししょごきょう
梓匠輪輿,ししょうりんよ
事上磨錬,じじょうまれん
紙上談兵,しじょうだんぺい
耳熟能詳,じじゅくのうしょう
四十不惑,しじゅうふわく
刺字漫滅,しじまんめつ
舐痔得車,しじとくしゃ
師資相承,ししそうしょう
志士仁人,ししじんじん
屍山血河,しざんけつが
思索生知,しさくせいち
而今而後,じこんじご
自己韜晦,じことうかい
事後承諾,じごしょうだく
四荒八極,しこうはっきょく
師曠之聡,しこうのそう
豕交獣畜,しこうじゅうちく
至公至平,しこうしへい
舐糠及米,しこうきゅうまい
子建八斗,しけんはっと
子見南子,しけんなんし
舳艫千里,じくろせんり
四衢八街,しくはちがい
四弘誓願,しぐぜいがん
至恭至順,しきょうしじゅん
色即是空,しきそくぜくう
只管打坐,しかんたざ
紫幹翠葉,しかんすいよう
歯牙余論,しがのよろん
死灰復然,しかいふくねん
四海同胞,しかいどうほう
持盈保泰,じえいほたい
時雨之化,じうのか
子為父隠,しいふいん
侈衣美食,しいびしょく
深情厚誼,しんじょうこうぎ
食馬解囲,しょくばかいい
菽水之歓,しゅくすいのかん
雌伏雄飛,しふくゆうひ
砥礪切磋,しれいせっさ
十年磨剣,じゅうねんまけん
櫛風浴雨,しっぷうよくう
櫛風沐雨,しっぷうもくう
漆身呑炭,しっしんどんたん
死生契闊,しせいけっかつ
孜孜不倦,ししふけん
獅子搏兎,ししはくと
笑裏蔵刀,しょうりぞうとう
囚首喪面,しゅうしゅそうめん
失笑噴飯,しっしょうふんぱん
小水之魚,しょうすいのうお
車魚之嘆,しゃぎょのなげき
史魚屍諫,しぎょしかん
春蚓秋蛇,しゅんいんしゅうだ
鵲巣鳩占,じゃくそうきゅうせん
慈悲心鳥,じひしんちょう
四鳥別離,しちょうべつり
慈烏反哺,じうはんぽ
車轍馬跡,しゃてつばせき
四月馬鹿,しがつばか
守株待兎,しゅしゅたいと
十羊九牧,じゅうようきゅうぼく
照猫画虎,しょうびょうがこ
鴟目虎吻,しもくこふん
市虎三伝,しこさんでん
時節到来,じせつとうらい
十風五雨,じゅうふうごう
実力伯仲,じつりょくはくちゅう
精進潔斎,しょうじんけっさい
志操堅固,しそうけんご
真相究明,しんそうきゅうめい
失望落胆,しつぼうらくたん
士気阻喪,しきそそう
常住坐臥,じょうじゅうざが
自助努力,じじょどりょく
自学自習,じがくじしゅう
周知徹底,しゅうちてってい
失礼千万,しつれいせんばん
真剣勝負,しんけんしょうぶ
人海戦術,じんかいせんじゅつ
自力更生,じりきこうせい
白河夜船,しらかわよふね
蜀犬吠日,しょくけんはいじつ
諸説紛紛,しょせつふんぷん
初志貫徹,しょしかんてつ
種種雑多,しゅじゅざった
日月星辰,じつげつせいしん
自家撞着,じかどうちゃく
士気高揚,しきこうよう
時期尚早,じきしょうそう
自己犠牲,じこぎせい
自己嫌悪,じこけんお
自己陶酔,じことうすい
自己満足,じこまんぞく
自己矛盾,じこむじゅん
士魂商才,しこんしょうさい
小利大損,しょうりだいそん
生老病死,しょうろうびょうし
諸行無常,しょぎょうむじょう
自作自演,じさくじえん
自然淘汰,しぜんとうた
時時刻刻,じじこっこく
子子孫孫,ししそんそん
事事物物,じじぶつぶつ
獅子奮迅,ししふんじん
史上空前,しじょうくうぜん
自縄自縛,じじょうじばく
至上命令,しじょうめいれい
時代思潮,じだいしちょう
神機妙算,しんきみょうさん
人物月旦,じんぶつげったん
人面獣心,じんめんじゅうしん
食前方丈,しょくぜんほうじょう
震天動地,しんてんどうち
人品骨柄,じんぴんこつがら
陣頭指揮,じんとうしき
新陳代謝,しんちんたいしゃ
慎重居士,しんちょうこじ
人畜無害,じんちくむがい
進退両難,しんたいりょうなん
迅速果敢,じんそくかかん
深層心理,しんそうしんり
人跡未踏,じんせきみとう
人生行路,じんせいこうろ
人心一新,じんしんいっしん
人事不省,じんじふせい
真実一路,しんじついちろ
紳士協定,しんしきょうてい
紳士淑女,しんししゅくじょ
四六時中,しろくじちゅう
思慮分別,しりょふんべつ
私利私欲,しりしよく
常套手段,じょうとうしゅだん
少壮気鋭,しょうそうきえい
少数精鋭,しょうすうせいえい
小心翼翼,しょうしんよくよく
小人閑居,しょうじんかんきょ
生生流転,しょうじょうるてん
情状酌量,じょうじょうしゃくりょう
生者必滅,しょうじゃひつめつ
笑止千万,しょうしせんばん
城狐社鼠,じょうこしゃそ
消化不良,しょうかふりょう
春風駘蕩,しゅんぷうたいとう
純真無垢,じゅんしんむく
純情可憐,じゅんじょうかれん
春宵一刻,しゅんしょういっこく
春日遅遅,しゅんじつちち
首尾一貫,しゅびいっかん
出処進退,しゅっしょしんたい
自由闊達,じゆうかったつ
遮二無二,しゃにむに
洒洒落落,しゃしゃらくらく
杓子定規,しゃくしじょうぎ
自問自答,じもんじとう
揣摩臆測,しまおくそく
四方八方,しほうはっぽう
自分勝手,じぶんかって
紫電一閃,しでんいっせん
疾風怒濤,しっぷうどとう
疾風迅雷,しっぷうじんらい
十中八九,じっちゅうはっく
失地回復,しっちかいふく
質素倹約,しっそけんやく
失敬千万,しっけいせんばん
質疑応答,しつぎおうとう
四通八達,しつうはったつ
七難八苦,しちなんはっく
舌先三寸,したさきさんずん
事大主義,じだいしゅぎ
酒池肉林,しゅちにくりん
首鼠両端,しゅそりょうたん
熟慮断行,じゅくりょだんこう
熟読玩味,じゅくどくがんみ
主義主張,しゅぎしゅちょう
自由奔放,じゆうほんぽう
秋風索莫,しゅうふうさくばく
十年一昔,じゅうねんひとむかし
十年一日,じゅうねんいちじつ
集中砲火,しゅうちゅうほうか
秋霜烈日,しゅうそうれつじつ
衆人環視,しゅうじんかんし
周章狼狽,しゅうしょうろうばい
衆議一決,しゅうぎいっけつ
四海兄弟,しかいけいてい
詩歌管弦,しいかかんげん
尸位素餐,しいそさん
思案投首,しあんなげくび
森羅万象,しんらばんしょう
新進気鋭,しんしんきえい
神出鬼没,しんしゅつきぼつ
深山幽谷,しんざんゆうこく
枝葉末節,しようまっせつ
正真正銘,しょうしんしょうめい
盛者必衰,じょうしゃひっすい
取捨選択,しゅしゃせんたく
主客転倒,しゅかくてんとう
十人十色,じゅうにんといろ
縦横無尽,じゅうおうむじん
四面楚歌,しめんそか
自暴自棄,じぼうじき
四分五裂,しぶんごれつ
叱咤激励,しったげきれい
質実剛健,しつじつごうけん
七転八起,しちてんはっき
時代錯誤,じだいさくご
事実無根,じじつむこん
試行錯誤,しこうさくご
心機一転,しんきいってん
支離滅裂,しりめつれつ
深謀遠慮,しんぼうえんりょ
上意下達,じょういかたつ
順風満帆,じゅんぷうまんぱん
信賞必罰,しんしょうひつばつ
自由自在,じゆうじざい
針小棒大,しんしょうぼうだい
終始一貫,しゅうしいっかん
弱肉強食,じゃくにくきょうしょく
七転八倒,しちてんばっとう
自業自得,じごうじとく
四苦八苦,しくはっく
自画自賛,じがじさん
自給自足,じきゅうじそく
酔生夢死,すいせいむし
水到渠成,すいとうきょせい
吹毛求疵,すいもうきゅうし
寸歩不離,すんぽふり
寸田尺宅,すんでんしゃくたく
寸鉄殺人,すんてつさつじん
寸善尺魔,すんぜんしゃくま
寸指測淵,すんしそくえん
杜撰脱漏,ずさんだつろう
鄒魯遺風,すうろいふう
趨炎附熱,すうえんふねつ
鄒衍降霜,すうえんこうそう
随類応同,ずいるいおうどう
垂名竹帛,すいめいちくはく
推本溯源,すいほんそげん
酔歩蹣跚,すいほまんさん
彗氾画塗,すいはんがと
随波逐流,ずいはちくりゅう
垂頭喪気,すいとうそうき
水天髣髴,すいてんほうふつ
水天一碧,すいてんいっぺき
垂髫戴白,すいちょうたいはく
翠帳紅閨,すいちょうこうけい
水村山郭,すいそんさんかく
水随方円,すいずいほうえん
翠色冷光,すいしょくれいこう
隋珠和璧,ずいしゅかへき
随侯之珠,ずいこうのたま
水月鏡花,すいげつきょうか
垂拱之化,すいきょうのか
随宜所説,ずいぎしょせつ
随喜渇仰,ずいきかつごう
随機応変,ずいきおうへん
酔眼朦朧,すいがんもうろう
随感随筆,ずいかんずいひつ
吹影鏤塵,すいえいろうじん
随鴉彩鳳,ずいあさいほう
寸草春暉,すんそうしゅんき
炊金饌玉,すいきんせんぎょく
水滴石穿,すいてきせきせん
水清無魚,すいせいむぎょ
水魚之交,すいぎょのまじわり
随珠弾雀,ずいしゅだんじゃく
寸馬豆人,すんばとうじん
頭寒足熱,ずかんそくねつ
垂涎三尺,すいぜんさんじゃく
水天彷彿,すいてんほうふつ
頭脳明晰,ずのうめいせき
寸進尺退,すんしんしゃくたい
千変万化,せんぺんばんか
臍下丹田,せいかたんでん
石破天驚,せきはてんきょう
雪裏清香,せつりせいこう
是非善悪,ぜひぜんあく
千慮一得,せんりょのいっとく
賤斂貴発,せんれんきはつ
千慮一失,せんりょのいっしつ
千里命駕,せんりめいが
千里無烟,せんりむえん
千里結言,せんりのけつげん
瞻望咨嗟,せんぼうしさ
穿壁引光,せんぺきいんこう
前覆後戒,ぜんぷくこうかい
仙風道骨,せんぷうどうこつ
全豹一斑,ぜんぴょういっぱん
前跋後疐,ぜんばつこうち
漸入佳境,ぜんにゅうかきょう
先難後獲,せんなんこうかく
千成瓢箪,せんなりびょうたん
旋転囲繞,せんてんいじょう
前程万里,ぜんていばんり
先知先覚,せんちせんがく
栴檀双葉,せんだんのふたば
千朶万朶,せんだばんだ
千村万落,せんそんばんらく
吮疽之仁,せんそのじん
翦草除根,せんそうじょこん
蝉噪蛙鳴,せんそうあめい
戦戦慄慄,せんせんりつりつ
泉石膏肓,せんせきこうこう
先聖先師,せんせいせんし
全生全帰,ぜんせいぜんき
煎水作氷,せんすいさくひょう
千仞之谿,せんじんのたに
浅斟低唱,せんしんていしょう
専心一意,せんしんいちい
千緒万端,せんしょばんたん
僭賞濫刑,せんしょうらんけい
禅譲放伐,ぜんじょうほうばつ
先従隗始,せんじゅうかいし
千状万態,せんじょうばんたい
千乗万騎,せんじょうばんき
川上之歎,せんじょうのたん
千乗之国,せんじょうのくに
千秋万古,せんしゅうばんこ
千射万箭,せんしゃばんせん
前車覆轍,ぜんしゃのふくてつ
浅酌低唱,せんしゃくていしょう
仙姿玉質,せんしぎょくしつ
千錯万綜,せんさくばんそう
仙才鬼才,せんさいきさい
潜在意識,せんざいいしき
千古不磨,せんこふま
千呼万喚,せんこばんかん
洗垢索瘢,せんこうさくはん
先庚後庚,せんこうこうこう
先見之明,せんけんのめい
旋乾転坤,せんけんてんこん
鮮血淋漓,せんけつりんり
千荊万棘,せんけいばんきょく
千金弊帚,せんきんへいそう
千均一髪,せんきんいっぱつ
千金一擲,せんきんいってき
千金一刻,せんきんいっこく
前倨後恭,ぜんきょこうきょう
饌玉炊金,せんぎょくすいきん
善巧方便,ぜんぎょうほうべん
先義後利,せんぎこうり
千巌万壑,せんがんばんがく
遷客騒人,せんかくそうじん
扇影衣香,せんえいいこう
潜移暗化,せんいあんか
是非之心,ぜひのこころ
是非曲直,ぜひきょくちょく
世道人心,せどうじんしん
切問近思,せつもんきんし
窃鈇之疑,せっぷのぎ
雪魄氷姿,せっぱくひょうし
刹那主義,せつなしゅぎ
雪泥鴻爪,せつでいのこうそう
雪中松柏,せっちゅうしょうはく
截断衆流,せつだんしゅる
舌端月旦,ぜったんげったん
絶世独立,ぜっせいどくりつ
殺生禁断,せっしょうきんだん
折衝禦侮,せっしょうぎょぶ
摂取不捨,せっしゅふしゃ
切歯腐心,せっしふしん
截趾適屨,せっしてきく
絶巧棄利,ぜっこうきり
接見応対,せっけんおうたい
雪月風花,せつげつふうか
窃玉偸香,せつぎょくとうこう
折檻諫言,せっかんかんげん
折花攀柳,せっかはんりゅう
雪萼霜葩,せつがくそうは
窃位素餐,せついそさん
是生滅法,ぜしょうめっぽう
隻履西帰,せきりせいき
尺璧非宝,せきへきひほう
尺短寸長,せきたんすんちょう
尺沢之鯢,せきたくのげい
刺草之臣,せきそうのしん
積善余慶,せきぜんのよけい
尺寸之柄,せきすんのへい
尺寸之地,せきすんのち
尺寸之功,せきすんのこう
積薪之嘆,せきしんのたん
赤心奉国,せきしんほうこく
石心鉄腸,せきしんてっちょう
赤手空拳,せきしゅくうけん
碩師名人,せきしめいじん
積日累久,せきじつるいきゅう
隻紙断絹,せきしだんけん
尺山寸水,せきざんすんすい
跖狗吠尭,せきくはいぎょう
碩学大儒,せきがくたいじゅ
積羽沈舟,せきうちんしゅう
積悪余殃,せきあくのよおう
是耶非耶,ぜかひか
世外桃源,せがいとうげん
世運隆替,せうんりゅうたい
精力絶倫,せいりょくぜつりん
生離死別,せいりしべつ
青藍氷水,せいらんひょうすい
星羅雲布,せいらうんぷ
精明強幹,せいめいきょうかん
清風明月,せいふうめいげつ
清風故人,せいふうこじん
精疲力尽,せいひりきじん
萋斐貝錦,せいひばいきん
生呑活剥,せいどんかっぱく
聖読庸行,せいどくようこう
盛徳大業,せいとくたいぎょう
斉東野語,せいとうやご
青天霹靂,せいてんのへきれき
井底之蛙,せいていのあ
生知安行,せいちあんこう
清淡虚無,せいたんきょむ
盛粧麗服,せいそうれいふく
悽愴流涕,せいそうりゅうてい
青銭万選,せいせんばんせん
井渫不食,せいせつふしょく
清聖濁賢,せいせいだくけん
凄凄切切,せいせいせつせつ
聖人無夢,せいじんむむ
青松落色,せいしょうらくしょく
清浄無垢,せいじょうむく
西狩獲麟,せいしゅかくりん
西戎東夷,せいじゅうとうい
斉駆並駕,せいくへいが
静寂閑雅,せいじゃくかんが
西施捧心,せいしほうしん
斉紫敗素,せいしはいそ
噬指棄薪,ぜいしきしん
青史汗簡,せいしかんかん
誠惶誠恐,せいこうせいきょう
性行淑均,せいこうしゅくきん
精金良玉,せいきんりょうぎょく
生気溌溂,せいきはつらつ
生寄死帰,せいきしき
旌旗巻舒,せいきけんじょ
誠歓誠喜,せいかんせいき
星火燎原,せいかりょうげん
清音幽韻,せいおんゆういん
精衛填海,せいえいてんかい
青雲之志,せいうんのこころざし
晴雲秋月,せいうんしゅうげつ
青鞋布韈,せいあふべつ
扇枕温被,せんちんおんぴ
扇枕温衾,せんちんおんきん
積厚流光,せきこうりゅうこう
生死肉骨,せいしにくこつ
節倹力行,せっけんりっこう
雪案蛍窓,せつあんけいそう
積土成山,せきどせいざん
積水成淵,せきすいせいえん
切切偲偲,せつせつしし
声名狼藉,せいめいろうぜき
前狼後虎,ぜんろうこうこ
善因善果,ぜんいんぜんか
千古不滅,せんこふめつ
前途有為,ぜんとゆうい
先祖代々,せんぞだいだい
精励恪勤,せいれいかっきん
政教分離,せいきょうぶんり
晴好雨奇,せいこううき
生殺与奪,せいさつよだつ
聖人君子,せいじんくんし
精神一到,せいしんいっとう
誠心誠意,せいしんせいい
精神統一,せいしんとういつ
生存競争,せいぞんきょうそう
贅沢三昧,ぜいたくざんまい
清濁併呑,せいだくへいどん
正当防衛,せいとうぼうえい
勢力伯仲,せいりょくはくちゅう
清廉潔白,せいれんけっぱく
責任転嫁,せきにんてんか
是是非非,ぜぜひひ
世代交代,せだいこうたい
切歯扼腕,せっしやくわん
戦意喪失,せんいそうしつ
浅学非才,せんがくひさい
千客万来,せんきゃくばんらい
千軍万馬,せんぐんばんば
前言往行,ぜんげんおうこう
千言万語,せんげんばんご
善隣友好,ぜんりんゆうこう
全力投球,ぜんりょくとうきゅう
千両役者,せんりょうやくしゃ
千里同風,せんりどうふう
先憂後楽,せんゆうこうらく
千万無量,せんまんむりょう
専売特許,せんばいとっきょ
善男善女,ぜんなんぜんにょ
前途遼遠,ぜんとりょうえん
前途有望,ぜんとゆうぼう
前途多難,ぜんとたなん
全知全能,ぜんちぜんのう
千態万状,せんたいばんじょう
先祖伝来,せんぞでんらい
宣戦布告,せんせんふこく
戦戦恐恐,せんせんきょうきょう
先制攻撃,せんせいこうげき
千辛万苦,せんしんばんく
全身全霊,ぜんしんぜんれい
千秋万歳,せんしゅうまんざい
千姿万態,せんしばんたい
千紫万紅,せんしばんこう
千思万考,せんしばんこう
千山万水,せんざんばんすい
前後不覚,ぜんごふかく
千古不易,せんこふえき
千篇一律,せんぺんいちりつ
前途洋洋,ぜんとようよう
先手必勝,せんてひっしょう
前人未到,ぜんじんみとう
切磋琢磨,せっさたくま
晴耕雨読,せいこううどく
千差万別,せんさばんべつ
千載一遇,せんざいいちぐう
絶体絶命,ぜったいぜつめい
青天白日,せいてんはくじつ
正々堂々,せいせいどうどう
前代未聞,ぜんだいみもん
創意工夫,そういくふう
孫楚漱石,そんそそうせき
樽俎折衝,そんそせっしょう
孫康映雪,そんこうえいせつ
楚夢雨雲,そむううん
素波銀濤,そはぎんとう
率土之浜,そっとのひん
率先躬行,そっせんきゅうこう
即決即断,そっけつそくだん
楚囚南冠,そしゅうなんかん
麤枝大葉,そしたいよう
楚材晋用,そざいしんよう
属毛離裏,ぞくもうりり
束髪封帛,そくはつふうはく
束帛加璧,そくはくかへき
束皙竹簡,そくせきちくかん
足音跫然,そくおんきょうぜん
草廬三顧,そうろさんこ
即身成仏,そくしんじょうぶつ
俗臭芬芬,ぞくしゅうふんぷん
即時一杯,そくじいっぱい
粟散辺地,ぞくさんへんち
楚越同舟,そえつどうしゅう
巣林一枝,そうりんいっし
総量規制,そうりょうきせい
蒼蠅驥尾,そうようきび
装模作様,そうもさくよう
草木禽獣,そうもくきんじゅう
草木皆兵,そうもくかいへい
草莽之臣,そうもうのしん
争名争利,そうめいそうり
草満囹圄,そうまんれいご
曾母投杼,そうぼとうちょ
桑濮之音,そうぼくのおん
桑蓬之志,そうほうのこころざし
草茅危言,そうぼうきげん
造反有理,ぞうはんゆうり
造反無道,ぞうはんむどう
桑土綢繆,そうどちゅうびゅう
